"%s days","%s dagen"
"-- Remove Coupon --","-- Verwijder Coupon --"
"-- Select Coupon --","-- Selecteer Coupon --"
"Account Information","Account informatie"
"*If you already ordered a license, you should receive your serial shortly","*Als je al een licentie heb besteld, dan zou die binnenkort moeten ontvangen."
"*Ordered Cart2Quote, but no license yet? <a href="https://cart2quote.zendesk.com/entries/20199692-cfg-request-a-license-key-for-cart2quote">Request your license number.</a>","*Cart2Quote al besteld, maar nog geen licentie? <a href="https://cart2quote.zendesk.com/entries/20199692-cfg-request-a-license-key-for-cart2quote">Vraag een licentie.</a>"
"About This Quote:","Over deze Offerte"
"Add Items to Cart","Voeg toe aan winkelmandje"
"Are you sure you would like to remove this item from the quote?","Weet je zeker dat je dit product van de offerte wil verwijderen?"
"Assigned To","Toegewezen aan"
"Assigned to","Toegewezen aan"
"Auto proposal","Automatisch voorstel"
"Available Shipping Methods","Beschikbare verzendmethoden"
"Billing Address is same as Shipping Address","Het factuuradres is hetzelfde als het verzendadres"
"Billing details","Factuur details"
"Can not add quote history.","Kan offerte geschiedenis niet toevoegen"
"Clear Quote","Offerte legen"
"Continue Trial","Ga verder met proefperiode"
"Cost Price","Kostprijs"
"Couldn't auto check out because one or more products are bundle products","Kon niet automatisch naar afrekenen omdat een of meerder producten bundle producten zijn."
"Could not create cart2quote export folder: ","Kon geen Cart2Quote export map maken: "
"Could not export quotes","Kon offertes niet exporteren"
"Could not find user with email address: %s","Kon geen gebruiker vinden met het volgende mailadres: %s"
"Could not recalculate Quote Price","Kon de Offerte prijs niet herberekenen"
"Coupon Code %s","Coupon code %s"
"Coupon Type '%s' not supported","Coupon type '%s' is niet ondersteund"
"Currently all features of Cart2Quote are unlocked so you can experience the full power of this Magento Extension. In %s days this trial will end, and the functionality of Cart2Quote will be limited.","Je ervaart nu de volledige functionaliteit van Cart2Quote. Over %s dagen zal deze proefperiode verlopen en wordt de functionaliteit van Cart2Quote beperkt."
"Currently no shipping methods are available","Op dit moment zijn er geen verzendmethodes beschikbaar"
"Delete Group","Verwijder groep"
"Delivery Options","Verzend opties"
"Do not notify customer","Breng de klant niet op de hoogte"
"Edit products","Bewerk producten"
"Enter Fixed Price","Voer vaste prijs in"
"Enter Percentage","Voer percentage in"
"Enter Quote Reduction","Voer offerte korting in"
"Enter custom price excluding tax","Voer aangepaste prijs exclusief belasting in"
"Enter custom price including default tax","Voer aangepaste prijs inclusief belasting in"
"Enter new Quote Subtotal","Voer niew offerte subtotaal in"
"Enter your billing address details.","Voer uw factuur gegevens in"
"Enter your destination to receive a shipping quotation. Unless otherwise specified, standard shipping is quoted.","Voer uw verzend locatie in om een verzend offerte te ontavngen. Tenzij anders aangegeven, wordt standaard verzending geoffreerd."
"Enter your personal information to place a Quote Request.","Voer uw gegevens in om een offerte aan te vragen."
"Expiry Date","Verval datum"
"File Upload","Bestands upload"
"Fixed Price Per Order","Vaste prijs per order"
"Fixed Quote Total was not a valid decimal number","Opgegeven Offerte totaal was geen geldig nummer"
"General Comment","Algemene opmerking"
"Get Shipping Estimates","Ontvang een schatting van de verzendkosten"
"If the end user has no previous assigned sales representative the quote will be assigned to <strong>%s</strong>.","Als de eindgebruiker geen eerder toegewezen verkoop vertegenwoordiger heeft zal de offerte toegwezen worden aan <strong>%s</strong>."
"In Process","In proces"
"Incl. default Tax","Incl. standaard BTW"
"Internal Comment","Interne opmerking"
"Item #%s was't updated","Item #%s was niet geupdate"
"Item %s is out of stock and cannot be ordered.","Item %s is niet op voorraad en kan niet worden besteld"
"Linked Orders","Gekoppelde orders"
"Linked Quote Request","Gekoppelde offerte aanvragen"
"Link to the New Quote","Link naar nieuwe offerte"
"Link to the Previous Quote","Link naar vorige offerte"
"Loading","Laden"
"Logged in admin user","Ingelogde admin gebuiker"
"Logged in admin user with rotate fallback","Ingelogde admin gebuiker met terugval naar schema"
"Logged in admin user with rotation fallback","Ingelogde admin gebuiker met terugval naar schema"
"Log out from quote confirmation mode","Log uit van offerte bevestig mode"
"Margin (GP)","Marge (BW)"
"Module is disabled","Module is uitgeschakeld"
"No Coupon Code Applied","Geen coupon code beschikbaar"
"No Coupon Codes Available","Geen coupon codes beschikbaar"
"No Follow Up date","Geen opvolg datum"
"No profit, increase Price(s)","Geen wints, verhoog prijs/prijzen"
"No quotes selected to export","Geen offertes geselecteerd om te exporteren"
"No thanks I will keep using this free version","Nee dank u, ik blijf de gratis versie gebruiken"
"No thanks I will use the free version","Nee dank u, ik gebruik de gratis versie."
"Not visible for customers","Niet zichtbaar voor klant"
"Old status could not be determined","Oude status kon niet worden bepaald"
"Please upgrade to Cart2Quote Starter or higher to use this feature","Update u alstublieft naar Cart2Quote Starter of hoger om deze functionaliteit te gebruiken."
"Print Quote ","Print offerte"
"Product: ""%s"" could not be added to the cart","Product: ""%s"" kon niet worden toegevoegd aan aan het winkelmandje"
"Profit is based on entered cost prices","Winst is gebaseerd op de ingevoerde kostprijzen"
"Proposal","Aanbod"
"Proposal was not sent, no profit","Aanbod was niet verzonden, er is geen winst"
"Purchase a License*","Bestel een licentie*"
"Qquote reject email was't sent to admin for quote #%s","Offerte afwijzing was niet naar de administrator verzonden voor offerte #%s"
"Quotation #%s","Offerte #%s"
"Quotation Management","Offerte beheer"
"Quote # %s","Offerte #%s"
"Quote Information","Offerte informatie"
"Quote Reduction was not a valid decimal number","Offerte korting was geen geldig nummer"
"Quote Totals","Offerte totalen"
"Quote could not be saved.","Offerte kon niet worden opgeslagen."
"Quote is currently on hold","Offerte staat op dit moment op slot"
"Quote is succesfully unhold!","Offerte met succes ontsloten"
"Quote status","Offerte status"
"Quote was saved with errors","Offerte was opgeslagen met fouten"
"Quote will be assigned to <strong>%s</strong>","Offerte zal toegewezen worden aan <strong>%s</strong>"
"Recalculate","Herbereken"
"Remarks","Opmerkingen"
"Reminder Date","Herinnerings datum"
"Remove Current Rate ?","Verwijder huidige tarief?"
"Reset Follow Up","Reset follow-up"
"Rotate admin role","Admin rol toewijzen"
"Rotation","Schema"
"Sending proposal Email is disabled","Verzenden van aanbod email is uitgeschakeld"
"Shipping Address is same as Billing Address","Afleveradres is hetzelfde als factuuradres"
"Shipping Estimate","Schatting van verzending"
"Surcharge","Toeslag"
"Thanks for trying Cart2Quote!","Bedankt voor het proberen van Cart2Quote!"
"The %s you entered is invalid. Please make sure that it follows 'http://domain.com/' format.","%s is ongeldig. Zorg dat je het volgende formaat volgt: 'http://domain.com/'"
"The CSV export function is only available in Cart2Quote Enterprise. To update please go to <a href='http://www.cart2quote.com/pricing-magento-quotation-module.html?utm_source=Customer%2Bwebsite&utm_medium=license%2Bpopup&utm_campaign=Upgrade%2Bversion'>http://www.cart2quote.com</a>","De CSV functionaliteit is alleen beschikbaar in Cart2Quote Enterprise. Ga naar <a href='http://www.cart2quote.com/pricing-magento-quotation-module.html?utm_source=Customer%2Bwebsite&utm_medium=license%2Bpopup&utm_campaign=Upgrade%2Bversion'>http://www.cart2quote.com</a> om te updaten."
"The cart2quote export folder is not writable: ","De Cart2Quote export map is niet beschijfbaar: "
"The following item will not be added to the quotation list if you continue:","Het volgende item zal niet worden toegevoegd aan de offerte lijst als je doorgaat:"
"The maximum quantity allowed for quotation for %s is %s.","De maximaal toegestaande hoeveelheid voor offrering voor %s is %s."
"The minimum quantity allowed for quotation for %s is %s.","De minimaal toegestaande hoeveelheid voor offrering voor %s is %s."
"The product ""%s"" could not be added. (No user rights)","Het product ""%s"" kon niet worden toegevoegd. (Geen gebruikers rechten)"
"There are <a href=""%s"">%s items</a> in your quote.","Er zijn <a href=""%s"">%s items</a> in uw offerte"
"There are no printable documents related to selected quotes","Er zijn geen printbare documenten gerelateerd aan de geselecteerde offertes"
"There is <a href=""%s"">1 item</a> in your quote.","Er is <a href=""%s"">1 item</a> in uw offerte"
"There was an error, because the customer address was undefined","Er was een fout, omdat het klant adres niet ingevoerd was"
"There was an error, because the customer shipping address was undefined","Er was een fout, omdat het klant bezorgadres niet ingevoerd was"
"There was an error, because the product quantities were not defined","Er was een fout, omdat te hoeveelheden niet opgegeven waren"
"This function is only available in the enterprise edition. <a href='http://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>","Deze functionaliteit is alleen beschikbaar in de Enterprise edition. <a href='http://www.cart2quote.com/magento-quotation-module-pricing.html'>Upgrade</a>"
"This order list contains items that cannot quoted.","De bestel lijst bevat items die niet geoffreerd kunnen worden."
"This quote has been created with another Trial Version of Cart2Quote. To continue your trial, simply create a new quote. To access this quote request, please upgrade to a commercial version.","Deze offerte is gemaakt met een eerder proefversie van Cart2Quote. Koop een licentie om je eerdere offertes te kunnen managen of ga door met deze proefversie door een andere offerte te bekijken."
"This quote no longer exists.","Deze offerte bestaat niet meer"
"To change your currency <a href='%s'>log out</a> from Quote confirmation mode.","Om de valuta te veranderen: <a href='%s'>log uit</a> van Offerte bevestig mode"
"To create an order, select product(s) and quantity","Selecteer producten en hoeveelheden om een bestelling te maken."
"To sent a proposal enable this product.","Zet dit product aan om een aanbod te verzenden"
"To update item in the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Om items in het winkelmandje aan te passen: <a href='%s'>log uit</a> van Offerte bevestig mode"
"Update Quotation","Update offerte"
"Update Quote","Update offerte"
"Use Default Billing and Shipping Address","Gebruik standaard factuur en bezorgadres"
"Use Store Settings","Gebruik winkel instellingen"
"Use alternative url","Gebruik een alternatieve url"
"User Telephone","Gebruiker telefoon"
"We offer the following delivery options. Multiple options can be selected.","Wij bieden de volgende verzendmethoden aan. Meerdere methoden kunnen gesekecteerd worden."
"Wrong transactional account email type.","Verkeerd type transactionele email account"
"Yes and required","Ja en vereist"
"Yes take me there","Ja laat het me zien"
"You have no items in your quote.","U hebt geen items in uw offerte"
"You may request a quote without any obligations","U kunt een offerte aanvragen zonder enige verplichtingen"
"Your current license is limited to the use on a single domain. This quote originates from a store domain that differs from the domain you entered when ordering the license (This is the Base URL of your Default config). Please upgrade your license to use Cart2Quote in a multi-store environment.","Je huidige licentie is gelimiteerd tot het gebruik van een enkel domein. Deze offerte is gemaakt in een winkel met een andere domein dan opgegeven als je backend. Upgrade je licentie om Cart2Quote te gebruiken in een 'multi-store' omgeving."
"Your Trial has expired","Uw proefperiode is verstreken"
"Your trial has expired. You have been using the full version of Cart2Quote, we hope you had an awesome experience saving both time and money managing your quotations with Cart2Quote. You are now using the Free Version of Cart2Quote, but you can simply unlock the backend features again by ordering a license.","Je proefperiode is verlopen. We hopen dat de inzet van Cart2Quote je tijd en geld heeft bespaard. Je gebruikt nu de gratis versie met beperkte backend functionaliteit. Koop een licentie voor volledige toegang tot de functionaliteiten."
"Your Trial has expired for this Quote","Uw proefperiode is verstreken voor deze offerte"
"Your quote request has been cancelled","Uw offerte aanvraag is geannuleerd"
"You will receive a quote cancellation confirmation email.","U ontvangt een offerte annulering bevestigings e-mail."
"incorrect first parameter for checkQtyIncrements should be product or product_id","eerste parameter is incorrect voor checkQtyIncrements het zou product of product_id moeten zijn"
"incorrect first parameter for checkQuantities should be product or product_id","eerste parameter is incorrect voor checkQuantities het zou product of product_id moeten zijn"
"incorrect parameter for isInStock should be product or product_id","parameter is incorrect isInStock het zou product of product_id moeten zijn"
"item %s is out of stock.","item %s is niet op voorraad."
"Product cannot be added to quote list","Product kan niet worden toegevoegd aan de offerte lijst"
